,Unnamed: 0,Index,Frame,Success,Goblin Death,Player Hurt,Player Attacking,Player Moving,Threshbuffer,Type
141,32,245,42148,0,5,6,7,9,[0.1062 0.1045 0.11   0.1046 0.0709 0.0868 0.0802 0.0773],1
142,33,246,43167,0,5,6,7,9,[0.2139 0.2399 0.3166 0.3686 0.3628 0.3148 0.2165 0.1937],1
143,34,251,44190,0,5,6,7,9,[0.2633 0.2479 0.2232 0.1929 0.1828 0.1661 0.1698 0.1953],1
144,35,252,45209,0,5,6,7,9,[0.4355 0.4428 0.5115 0.5776 0.5406 0.5097 0.5006 0.4567],1
145,36,256,46134,1,5,6,7,9,[0.6147 0.6774 0.6991 0.6696 0.6814 0.6878 0.7019 0.7376],1
146,0,8,7717,1,0,0,0,0,[0.5989 0.6522 0.715  0.7184 0.7121 0.704  0.7004 0.7028],0
147,1,11,8700,0,0,0,0,0,[0.3984 0.429  0.4647 0.4657 0.4618 0.4536 0.4364 0.4594],0
148,2,15,9306,1,0,0,0,0,[0.5986 0.6435 0.6418 0.6673 0.7099 0.6896 0.7392 0.7857],0
149,3,22,10256,0,0,0,0,0,[0.1122 0.1087 0.1249 0.0812 0.0907 0.0737 0.0748 0.0762],0
150,4,26,11170,1,0,0,0,0,[0.6044 0.6565 0.6872 0.6925 0.7269 0.7168 0.6843 0.7157],0
151,5,29,12208,0,0,0,0,0,[0.6134 0.5969 0.5876 0.5465 0.511  0.5183 0.4727 0.4792],0
152,6,33,13179,1,0,0,0,0,[0.6227 0.6529 0.6788 0.7264 0.7166 0.704  0.6815 0.68  ],0
153,7,123,18047,0,3,3,4,3,[0.5978 0.5691 0.5531 0.5562 0.6001 0.6429 0.669  0.7042],0
154,8,132,19060,0,3,3,4,3,[0.239  0.2461 0.2297 0.2384 0.2338 0.2704 0.337  0.3416],0
155,9,140,19816,1,3,3,4,3,[0.6064 0.6646 0.6646 0.6893 0.7245 0.7362 0.7462 0.7601],0
156,10,143,20820,0,3,3,4,3,[0.3697 0.2833 0.2912 0.3094 0.3169 0.3179 0.3426 0.3673],0
157,11,153,21226,1,3,3,4,3,[0.6811 0.6878 0.7088 0.7013 0.7302 0.7635 0.7318 0.6732],0
158,12,157,22042,1,3,3,4,3,[0.6228 0.6564 0.661  0.6638 0.6453 0.6618 0.7492 0.7414],0
159,13,163,22888,1,3,3,4,3,[0.6025 0.6516 0.6981 0.7147 0.7368 0.7574 0.757  0.7447],0
160,0,8,14910,1,0,0,0,0,[0.6091 0.6699 0.7014 0.6883 0.7086 0.724  0.7127 0.7482],1
161,1,95,18984,1,0,2,1,3,[0.6063 0.6926 0.7048 0.7216 0.7478 0.7789 0.7693 0.7853],1
162,2,119,21205,0,1,2,2,3,[0.6239 0.6104 0.6649 0.6368 0.6804 0.6734 0.6818 0.6739],1
163,3,120,22209,0,1,2,2,3,[0.2588 0.253  0.2309 0.2541 0.2259 0.2202 0.2189 0.2417],1
164,4,128,22938,1,1,2,2,3,[0.6109 0.6503 0.6447 0.6784 0.6984 0.688  0.7074 0.6967],1
165,5,184,25442,1,2,2,3,6,[0.6204 0.6501 0.6449 0.6421 0.6596 0.6411 0.6487 0.6884],1
